league,season,team,player,nation,pos,age,born,90s,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Int,Tkl+Int,Clr,Err
ENG-Premier League,2425,Brighton,Lewis Dunk,ENG,DF,33-184,1991,23.1,17,10,8,7,2,11,19,57.9,8,28,18,10,13,30,79,2
ENG-Premier League,2425,Brighton,Mats Wieffer,NED,"MF,DF",25-189,1999,10.3,52,28,26,22,4,29,42,69.0,13,16,2,14,15,67,25,3
ENG-Premier League,2425,Brighton,Matt O'Riley,DEN,MF,24-184,2000,10.3,16,9,4,8,4,4,13,30.8,9,7,3,4,13,29,9,1
ENG-Premier League,2425,Brighton,Pervis Estupiñán,ECU,DF,27-123,1998,26.7,65,43,33,25,7,34,51,66.7,17,20,5,15,37,102,65,2
ENG-Premier League,2425,Brighton,Simon Adingra,CIV,"FW,MF",23-143,2002,11.7,23,14,10,8,5,10,26,38.5,16,12,0,12,8,31,6,2
ENG-Premier League,2425,Brighton,Solly March,ENG,"FW,MF",30-308,1994,1.9,6,3,2,2,2,5,8,62.5,3,3,0,3,2,8,2,1
ENG-Premier League,2425,Brighton,Tariq Lamptey,GHA,DF,24-236,2000,9.6,17,11,8,9,0,9,25,36.0,16,15,7,8,7,24,23,1
ENG-Premier League,2425,Brighton,Yankuba Minteh,GAM,"FW,MF",20-306,2004,19.4,48,35,25,13,10,17,45,37.8,28,21,0,21,11,59,31,0
ENG-Premier League,2425,Brighton,Yasin Ayari,SWE,MF,21-230,2003,21.3,58,32,15,31,12,25,55,45.5,30,24,6,18,20,78,25,0
ENG-Premier League,2425,Chelsea,Axel Disasi,FRA,DF,27-074,1998,4.0,7,4,5,1,1,6,11,54.5,5,4,1,3,2,9,11,1
ENG-Premier League,2425,Chelsea,Benoît Badiashile,FRA,DF,24-059,2001,3.7,9,6,5,4,0,4,5,80.0,1,2,2,0,6,15,12,2
ENG-Premier League,2425,Chelsea,Christopher Nkunku,FRA,FW,27-191,1997,10.2,12,8,3,4,5,6,8,75.0,2,9,2,7,7,19,10,0
ENG-Premier League,2425,Chelsea,Cole Palmer,ENG,MF,23-018,2002,34.5,31,18,11,10,10,10,24,41.7,14,16,1,15,11,42,18,1
ENG-Premier League,2425,Chelsea,Enzo Fernández,ARG,MF,24-127,2001,31.7,65,33,17,30,18,31,84,36.9,53,42,7,35,13,78,22,4
ENG-Premier League,2425,Chelsea,Filip Jørgensen,DEN,GK,23-038,2002,6.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,3
ENG-Premier League,2425,Chelsea,Jadon Sancho,ENG,FW,25-060,2000,18.9,11,7,3,2,6,5,12,41.7,7,10,0,10,2,13,6,2
ENG-Premier League,2425,Chelsea,Joshua Acheampong,ENG,DF,19-019,2006,1.9,2,1,2,0,0,2,2,100.0,0,1,0,1,1,3,2,0
ENG-Premier League,2425,Chelsea,João Félix,POR,"FW,MF",25-195,1999,4.1,8,3,2,5,1,5,9,55.6,4,2,0,2,3,11,2,0
ENG-Premier League,2425,Chelsea,Kiernan Dewsbury-Hall,ENG,"MF,FW",26-260,1998,2.9,8,5,1,1,6,4,6,66.7,2,2,0,2,1,9,8,1
ENG-Premier League,2425,Chelsea,Levi Colwill,ENG,DF,22-087,2003,34.0,47,34,25,19,3,18,27,66.7,9,37,25,12,32,79,112,4
ENG-Premier League,2425,Chelsea,Malo Gusto,FRA,DF,22-005,2003,20.5,45,29,27,15,3,25,48,52.1,23,29,8,21,24,69,49,5
ENG-Premier League,2425,Chelsea,Marc Cucurella,ESP,DF,26-306,1998,32.2,64,42,31,28,5,29,57,50.9,28,47,15,32,28,92,87,3
ENG-Premier League,2425,Chelsea,Marc Guiu,ESP,FW,19-140,2006,0.8,1,1,0,1,0,1,1,100.0,0,0,0,0,0,1,0,0
ENG-Premier League,2425,Chelsea,Mathis Amougou,FRA,MF,19-126,2006,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
ENG-Premier League,2425,Chelsea,Moisés Caicedo,ECU,"MF,DF",23-203,2001,36.2,110,70,41,53,16,53,85,62.4,32,48,10,38,49,159,57,1
ENG-Premier League,2425,Chelsea,Mykhailo Mudryk,UKR,FW,24-139,2001,1.7,2,2,2,0,0,0,0,,0,3,1,2,0,2,1,0
ENG-Premier League,2425,Chelsea,Nicolas Jackson,SEN,FW,23-338,2001,24.7,22,13,6,7,9,5,10,50.0,5,15,2,13,3,25,15,0
ENG-Premier League,2425,Chelsea,Noni Madueke,ENG,FW,23-075,2002,21.6,23,16,7,12,4,13,37,35.1,24,17,0,17,9,32,11,0
ENG-Premier League,2425,Chelsea,Pedro Neto,POR,FW,25-076,2000,24.4,23,9,9,9,5,9,21,42.9,12,14,2,12,9,32,6,0
ENG-Premier League,2425,Chelsea,Reece James,ENG,"DF,MF",25-167,1999,10.8,9,9,5,3,1,3,9,33.3,6,12,4,8,13,22,21,4
ENG-Premier League,2425,Chelsea,Renato Veiga,POR,"DF,MF",21-299,2003,2.0,9,6,6,3,0,4,12,33.3,8,3,1,2,1,10,2,0
ENG-Premier League,2425,Chelsea,Robert Sánchez,ESP,GK,27-187,1997,31.0,0,0,0,0,0,0,1,0.0,1,0,0,0,2,2,23,9
ENG-Premier League,2425,Chelsea,Roméo Lavia,BEL,MF,21-138,2004,8.5,22,13,5,13,4,10,21,47.6,11,6,0,6,16,38,10,1
ENG-Premier League,2425,Chelsea,Shumaira Mheuka,ENG,MF,17-216,2007,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
