league,season,team,player,nation,position,age,born_year,90s,goals,shoots,shoots_on_target,perc_shoots_on_target,shoots_90s,shoots_on_target_90s,goals_over_shoots,goals_over_shoots_on_target,average_shot_distance,shoots_free_kicks,penalties_scored,penalties_attempted,xG,no_penalty_xG,no_penalty_xg_over_shoots,goals_xG_difference,no_penalties_goals_xG_difference
Premier League,2425,Brentford,Sepp van den Berg,NED,DF,23,2001.0,27.7,0,19,5,26.3,0.69,0.18,0.0,0.0,10.4,0,0,0,1.9,1.9,0.1,-1.9,-1.9
Premier League,2425,Brentford,Thiago,BRA,"FW,MF",23,2001.0,1.8,0,1,0,0.0,0.55,0.0,0.0,0.0,14.7,0,0,0,0.1,0.1,0.1,-0.1,-0.1
Premier League,2425,Brentford,Vitaly Janelt,GER,MF,27,1998.0,25.0,1,14,4,28.6,0.56,0.16,0.07,0.25,17.7,0,0,0,0.8,0.8,0.06,0.2,0.2
Premier League,2425,Brentford,Yehor Yarmoliuk,UKR,MF,21,2004.0,15.1,0,9,2,22.2,0.6,0.13,0.0,0.0,15.9,0,0,0,0.6,0.6,0.07,-0.6,-0.6
Premier League,2425,Brentford,Yoane Wissa,COD,FW,28,1996.0,31.4,19,87,40,46.0,2.77,1.27,0.22,0.48,13.2,0,0,0,18.3,18.3,0.21,0.7,0.7
Premier League,2425,Brentford,Yunus Emre Konak,TUR,"FW,MF",19,2006.0,0.5,0,1,0,0.0,2.14,0.0,0.0,0.0,21.4,0,0,0,0.2,0.2,0.15,-0.2,-0.2
Premier League,2425,Brighton,Adam Webster,ENG,DF,30,1995.0,8.9,0,1,1,100.0,0.11,0.11,0.0,0.0,15.3,0,0,0,0.0,0.0,0.02,0.0,0.0
Premier League,2425,Brighton,Bart Verbruggen,NED,GK,22,2002.0,35.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
Premier League,2425,Brighton,Billy Gilmour,SCO,MF,23,2001.0,1.1,0,1,0,0.0,0.92,0.0,0.0,0.0,25.5,1,0,0,0.1,0.1,0.08,-0.1,-0.1
Premier League,2425,Brighton,Brajan Gruda,GER,"MF,FW",20,2004.0,6.8,1,10,5,50.0,1.47,0.74,0.1,0.2,17.7,2,0,0,1.1,1.1,0.11,-0.1,-0.1
Premier League,2425,Brighton,Carlos Baleba,CMR,MF,21,2004.0,28.6,3,41,11,26.8,1.44,0.39,0.07,0.27,25.3,1,0,0,3.0,3.0,0.07,0.0,0.0
Premier League,2425,Brighton,Danny Welbeck,ENG,FW,34,1990.0,23.5,10,59,23,39.0,2.51,0.98,0.15,0.39,15.3,9,1,1,9.6,8.8,0.15,0.4,0.2
Premier League,2425,Brighton,Diego Gómez,PAR,MF,22,2003.0,5.2,0,6,0,0.0,1.15,0.0,0.0,0.0,19.4,2,0,0,0.7,0.7,0.12,-0.7,-0.7
Premier League,2425,Brighton,Eiran Cashin,IRL,DF,23,2001.0,0.2,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
Premier League,2425,Brighton,Evan Ferguson,IRL,FW,20,2004.0,2.7,1,7,2,28.6,2.56,0.73,0.14,0.5,19.2,1,0,0,0.5,0.5,0.08,0.5,0.5
Premier League,2425,Brighton,Ferdi Kadioglu,TUR,"DF,MF",25,1999.0,4.3,1,4,1,25.0,0.94,0.23,0.25,1.0,15.1,0,0,0,0.4,0.4,0.11,0.6,0.6
Premier League,2425,Brighton,Georginio Rutter,FRA,"MF,FW",23,2002.0,18.4,5,50,12,24.0,2.72,0.65,0.1,0.42,15.5,0,0,0,4.6,4.6,0.09,0.4,0.4
Premier League,2425,Brighton,Harry Howell,ENG,FW,16,2008.0,0.1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
Premier League,2425,Brighton,Igor,BRA,DF,27,1998.0,10.0,0,1,0,0.0,0.1,0.0,0.0,0.0,14.1,0,0,0,0.0,0.0,0.05,0.0,0.0
Premier League,2425,Brighton,Jack Hinshelwood,ENG,"DF,MF",20,2005.0,19.5,3,15,7,46.7,0.77,0.36,0.2,0.43,13.7,0,0,0,2.1,2.1,0.14,0.9,0.9
Premier League,2425,Brighton,Jakub Moder,POL,MF,26,1999.0,0.1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
