league,season,team,player,nation,position,age,born_year,90s,passes_attempted,play_passes,fk_passes,free_kicks_passes,through_ball_passes,switches_passes,crosses_passes,throw_ins_passes,corner_kicks_passes,inswinging_corner_kicks,outswinging_corner_kicks,straight_corner_kicks,passes_completed,passes_offside,passes_blocked_by_rival
Premier League,2425,Bournemouth,Milos Kerkez,HUN,DF,21,2003.0,36.1,1716,1411,300,18,2,3,138,274,7,5,1,0,1295,5,50
Premier League,2425,Bournemouth,Neto,BRA,GK,35,1989.0,2.0,62,42,19,4,0,0,0,0,0,0,0,0,40,1,0
Premier League,2425,Bournemouth,Philip Billing,DEN,MF,28,1996.0,2.0,102,91,10,1,1,1,10,1,6,2,2,1,70,1,2
Premier League,2425,Bournemouth,Remy Rees-Dottin,ENG,FW,19,2006.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Premier League,2425,Bournemouth,Ryan Christie,SCO,MF,30,1995.0,23.5,1056,990,60,21,8,9,48,3,26,17,3,2,837,6,19
Premier League,2425,Bournemouth,Tyler Adams,USA,MF,26,1999.0,20.8,1017,974,37,33,2,1,3,4,0,0,0,0,855,6,14
Premier League,2425,Bournemouth,Zain Silcott-Duberry,MSR,FW,19,2005.0,0.0,2,2,0,0,0,0,0,0,0,0,0,0,1,0,1
Premier League,2425,Brentford,Ben Mee,ENG,DF,35,1989.0,2.0,120,108,12,5,0,1,0,4,0,0,0,0,93,0,1
Premier League,2425,Brentford,Bryan Mbeumo,CMR,FW,25,1999.0,36.9,1285,1132,146,39,12,9,197,16,86,69,2,0,852,7,49
Premier League,2425,Brentford,Christian Nørgaard,DEN,MF,31,1994.0,30.3,1377,1341,30,19,4,5,17,10,0,0,0,0,1117,6,25
Premier League,2425,Brentford,Edmond-Paris Maghoma,ENG,"MF,FW",24,2001.0,1.3,84,83,1,1,0,0,3,0,0,0,0,0,76,0,2
Premier League,2425,Brentford,Ethan Pinnock,JAM,DF,31,1993.0,21.3,1080,954,126,15,0,0,9,39,0,0,0,0,924,0,8
Premier League,2425,Brentford,Fabio Carvalho,POR,"FW,MF",22,2002.0,5.1,178,163,14,4,2,0,10,1,7,3,0,0,126,1,7
Premier League,2425,Brentford,Frank Onyeka,NGA,MF,27,1998.0,0.3,7,7,0,0,0,0,0,0,0,0,0,0,6,0,0
Premier League,2425,Brentford,Gustavo Nunes,BRA,"FW,MF",19,2005.0,0.1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0
Premier League,2425,Brentford,Hákon Rafn Valdimarsson,ISL,GK,23,2001.0,1.6,70,50,20,4,0,0,0,0,0,0,0,0,46,0,0
Premier League,2425,Brentford,Jayden Meghoma,ENG,DF,18,2006.0,0.1,3,3,0,0,0,0,0,0,0,0,0,0,3,0,0
Premier League,2425,Brentford,Keane Lewis-Potter,ENG,"DF,FW",24,2001.0,33.4,1221,1066,147,8,5,7,76,133,5,2,0,0,942,8,28
Premier League,2425,Brentford,Kevin Schade,GER,FW,23,2001.0,24.6,522,464,57,0,1,4,37,54,0,0,0,0,309,1,19
Premier League,2425,Brentford,Kim Jisoo,KOR,DF,20,2004.0,0.3,28,27,1,1,0,0,0,0,0,0,0,0,25,0,0
Premier League,2425,Brentford,Kristoffer Ajer,NOR,DF,27,1998.0,15.9,638,564,73,2,0,3,14,71,0,0,0,0,498,1,18
Premier League,2425,Brentford,Mads Roerslev,DEN,DF,25,1999.0,12.2,536,471,63,2,0,1,31,61,0,0,0,0,422,2,11
Premier League,2425,Brentford,Mark Flekken,NED,GK,31,1993.0,35.4,1670,1331,332,128,0,5,0,0,0,0,0,0,1220,7,0
Premier League,2425,Brentford,Mathias Jensen,DEN,MF,29,1996.0,9.5,475,396,75,15,2,4,32,42,13,10,0,0,356,4,7
Premier League,2425,Brentford,Michael Kayode,ITA,DF,20,2004.0,4.9,196,148,48,0,0,0,10,48,0,0,0,0,145,0,3
Premier League,2425,Brentford,Mikkel Damsgaard,DEN,"MF,FW",24,2000.0,31.5,1484,1328,148,31,25,5,141,9,59,52,0,0,1074,8,35
