league,season,team,player,nation,position,age,born_year,90s,goals_against,penalty_allowed,goals_freekicks,goals_cornerkicks,own_goals,xG_post_shoot,xG_post_shoot_over_shoot_on_target,difference_xG_post_shoot_goals_against,difference_xG_post_shoot_goals_against_90s,passes_over_45m_completed,passes_over_45m_attempted,perc_passes_over_45m,passes_attempted,throws_attempted,Passes_Launch%,passes_avg_length,goal_kicks_attempted,perc_goal_kicks,goal_kicks_avg_length,opponent_crosses_attempted,opponent_crosses_stopped,perc_crosses_stopped,defensive_actions_outside_area,defensive_actions_outside_area_90s,avg_distance_goal_defensive_actions
La Liga,2425,Leganés,Juan Soriano,ESP,GK,27,1997,6.0,7,0,0,1,1,8.8,0.36,2.8,0.47,36,120,30.0,131,20,56.5,43.9,54,85.2,62.8,130,7,5.4,0,0.0,8.4
La Liga,2425,Leganés,Marko Dmitrović,SRB,GK,33,1992,31.0,49,7,1,9,2,49.6,0.3,2.6,0.08,194,748,25.9,714,105,66.1,47.5,299,92.3,66.2,571,47,8.2,51,1.65,14.5
La Liga,2425,Mallorca,Dominik Greif,SVK,GK,28,1997,30.0,34,2,0,3,1,32.2,0.29,-0.8,-0.03,181,452,40.0,823,122,41.3,36.0,184,60.9,47.5,493,15,3.0,20,0.67,13.0
La Liga,2425,Mallorca,Leo Román,ESP,GK,24,2000,7.0,10,1,0,1,0,13.5,0.26,3.5,0.5,48,139,34.5,188,18,53.2,41.8,52,75.0,57.5,127,8,6.3,6,0.86,11.2
La Liga,2425,Osasuna,Aitor Fernández,ESP,GK,34,1991,1.0,0,0,0,0,0,1.2,0.23,1.2,1.15,19,35,54.3,34,4,70.6,44.4,11,100.0,59.9,14,1,7.1,1,1.0,10.6
La Liga,2425,Osasuna,Sergio Herrera,ESP,GK,31,1993,36.0,51,6,1,4,1,54.7,0.28,4.7,0.13,270,599,45.1,942,135,43.3,37.7,268,71.3,50.7,513,32,6.2,79,2.19,19.1
La Liga,2425,Rayo Vallecano,Augusto Batalla,ARG,GK,29,1996,31.0,39,6,0,6,1,38.9,0.25,0.9,0.03,175,522,33.5,953,120,42.9,38.5,181,62.4,50.5,442,34,7.7,32,1.03,13.6
La Liga,2425,Rayo Vallecano,Cárdenas,ESP,GK,28,1997,6.0,6,0,0,0,0,5.6,0.29,-0.4,-0.06,26,106,24.5,132,21,56.8,44.3,46,67.4,51.9,79,2,2.5,1,0.17,10.2
La Liga,2425,Real Madrid,Andriy Lunin,UKR,GK,26,1999,6.0,7,0,0,0,0,6.0,0.32,-1.0,-0.16,20,39,51.3,146,27,19.9,27.1,36,27.8,32.8,54,2,3.7,9,1.5,13.5
La Liga,2425,Real Madrid,Fran,ESP,GK,19,2005,1.0,2,0,0,1,0,0.9,0.43,-1.1,-1.14,1,2,50.0,16,3,12.5,24.0,4,0.0,14.8,5,1,20.0,1,1.0,12.0
