league,season,team,player,nation,position,age,born_year,90s,shot_creating_actions,shot_creating_actions_90s,play_passes_to_shot,fk_passes_to_shot,take_ons_to_shot,shot_to_shot,fouls_drawn_to_shot,defensive_actions_to_shot,goal_creating_actions,goal_creating_actions_90s,play_passes_to_goal,fk_passes_to_goal,take_ons_to_goal,shot_to_goal,fouls_drawn_to_goal,defensive_actions_to_goal
Premier League,2425,Brentford,Sepp van den Berg,NED,DF,23,2001.0,27.7,22,0.79,19,0,0,2,1,0,2,0.07,1,0,0,0,1,0
Premier League,2425,Brentford,Thiago,BRA,"FW,MF",23,2001.0,1.8,3,1.66,2,0,0,0,0,1,0,0.0,0,0,0,0,0,0
Premier League,2425,Brentford,Vitaly Janelt,GER,MF,27,1998.0,25.0,32,1.28,31,1,0,0,0,0,3,0.12,3,0,0,0,0,0
Premier League,2425,Brentford,Yehor Yarmoliuk,UKR,MF,21,2004.0,15.1,25,1.66,20,0,2,1,1,1,2,0.13,2,0,0,0,0,0
Premier League,2425,Brentford,Yoane Wissa,COD,FW,28,1996.0,31.4,66,2.1,38,1,4,12,10,1,9,0.29,8,0,0,0,1,0
Premier League,2425,Brentford,Yunus Emre Konak,TUR,"FW,MF",19,2006.0,0.5,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Premier League,2425,Brighton,Adam Webster,ENG,DF,30,1995.0,8.9,12,1.36,10,2,0,0,0,0,3,0.34,2,1,0,0,0,0
Premier League,2425,Brighton,Bart Verbruggen,NED,GK,22,2002.0,35.0,5,0.14,5,0,0,0,0,0,1,0.03,1,0,0,0,0,0
Premier League,2425,Brighton,Billy Gilmour,SCO,MF,23,2001.0,1.1,3,2.76,3,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Premier League,2425,Brighton,Brajan Gruda,GER,"MF,FW",20,2004.0,6.8,35,5.14,27,4,3,0,1,0,5,0.73,4,1,0,0,0,0
Premier League,2425,Brighton,Carlos Baleba,CMR,MF,21,2004.0,28.6,64,2.24,54,0,2,4,1,3,4,0.14,2,0,0,0,1,1
Premier League,2425,Brighton,Danny Welbeck,ENG,FW,34,1990.0,23.5,53,2.26,39,1,3,4,6,0,8,0.34,7,0,0,1,0,0
Premier League,2425,Brighton,Diego Gómez,PAR,MF,22,2003.0,5.2,14,2.68,12,1,0,1,0,0,3,0.57,2,1,0,0,0,0
Premier League,2425,Brighton,Eiran Cashin,IRL,DF,23,2001.0,0.2,1,4.5,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Premier League,2425,Brighton,Evan Ferguson,IRL,FW,20,2004.0,2.7,4,1.47,3,0,1,0,0,0,0,0.0,0,0,0,0,0,0
Premier League,2425,Brighton,Ferdi Kadioglu,TUR,"DF,MF",25,1999.0,4.3,13,3.03,11,0,0,0,1,1,2,0.47,2,0,0,0,0,0
Premier League,2425,Brighton,Georginio Rutter,FRA,"MF,FW",23,2002.0,18.4,64,3.47,37,0,9,7,9,2,8,0.43,3,0,3,1,1,0
Premier League,2425,Brighton,Harry Howell,ENG,FW,16,2008.0,0.1,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Premier League,2425,Brighton,Igor,BRA,DF,27,1998.0,10.0,11,1.1,10,0,0,0,1,0,0,0.0,0,0,0,0,0,0
Premier League,2425,Brighton,Jack Hinshelwood,ENG,"DF,MF",20,2005.0,19.5,34,1.75,28,4,0,1,1,0,3,0.15,3,0,0,0,0,0
Premier League,2425,Brighton,Jakub Moder,POL,MF,26,1999.0,0.1,4,32.73,4,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Premier League,2425,Brighton,James Milner,ENG,MF,39,1986.0,1.9,8,4.26,5,2,0,0,1,0,0,0.0,0,0,0,0,0,0
Premier League,2425,Brighton,Jan Paul van Hecke,NED,DF,24,2000.0,31.9,51,1.6,45,2,0,3,1,0,3,0.09,3,0,0,0,0,0
Premier League,2425,Brighton,Jason Steele,ENG,GK,34,1990.0,2.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Premier League,2425,Brighton,Jeremy Sarmiento,ECU,MF,22,2002.0,0.1,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Premier League,2425,Brighton,João Pedro,BRA,"FW,MF",23,2001.0,21.6,72,3.32,56,0,3,2,10,1,9,0.42,6,0,0,0,3,0
Premier League,2425,Brighton,Joël Veltman,NED,DF,33,1992.0,18.5,22,1.19,15,2,2,1,2,0,1,0.05,0,1,0,0,0,0
Premier League,2425,Brighton,Julio Enciso,PAR,"MF,FW",21,2004.0,3.3,12,3.69,5,1,3,1,2,0,0,0.0,0,0,0,0,0,0
Premier League,2425,Brighton,Kaoru Mitoma,JPN,"FW,MF",28,1997.0,28.4,85,2.99,71,0,6,3,4,1,9,0.32,8,0,0,0,1,0
Premier League,2425,Brighton,Lewis Dunk,ENG,DF,33,1991.0,23.1,19,0.82,17,0,0,2,0,0,3,0.13,2,0,0,1,0,0
Premier League,2425,Brighton,Mats Wieffer,NED,"MF,DF",25,1999.0,10.3,29,2.82,25,0,0,2,2,0,6,0.58,5,0,0,0,1,0
Premier League,2425,Brighton,Matt O'Riley,DEN,MF,24,2000.0,10.3,39,3.81,23,10,1,2,1,2,5,0.49,4,0,0,0,1,0
Premier League,2425,Brighton,Pervis Estupiñán,ECU,DF,27,1998.0,26.7,58,2.17,39,13,0,2,4,0,4,0.15,3,0,0,0,1,0
Premier League,2425,Brighton,Simon Adingra,CIV,"FW,MF",23,2002.0,11.7,45,3.85,31,0,6,8,0,0,7,0.6,5,0,1,1,0,0
Premier League,2425,Brighton,Solly March,ENG,"FW,MF",30,1994.0,1.9,7,3.77,6,1,0,0,0,0,2,1.08,2,0,0,0,0,0
Premier League,2425,Brighton,Tariq Lamptey,GHA,DF,24,2000.0,9.6,17,1.78,14,1,0,0,1,1,3,0.31,2,0,0,0,0,1
Premier League,2425,Brighton,Yankuba Minteh,GAM,"FW,MF",20,2004.0,19.4,57,2.94,34,8,11,2,1,1,11,0.57,5,0,5,1,0,0
