league,season,team,player,nation,position,age,born_year,90s,yellow_cards,red_cards,second_yellow_card_expulsions,fouls_commited,fouls_drawn,offsides,crosses,interceptions,tackles_won,penalty_kicks_won,penalty_kicks_conceded,own_goals,recoveries,aerial_duels_won,aerial_duels_lost,perc_aerial_duels_won
Premier League,2425,Brentford,Mathias Jensen,DEN,MF,29,1996.0,9.5,2,0,0,7,10,0,32,8,10,0,0,0,47,8,5,61.5
Premier League,2425,Brentford,Michael Kayode,ITA,DF,20,2004.0,4.9,2,0,0,7,2,0,10,5,10,0,0,0,31,8,2,80.0
Premier League,2425,Brentford,Mikkel Damsgaard,DEN,"MF,FW",24,2000.0,31.5,2,0,0,18,27,6,141,26,44,0,0,0,170,12,27,30.8
Premier League,2425,Brentford,Nathan Collins,IRL,DF,24,2001.0,37.0,5,0,0,27,29,6,8,34,23,2,0,0,158,117,66,63.9
Premier League,2425,Brentford,Rico Henry,ENG,DF,27,1997.0,1.1,0,0,0,2,2,0,2,1,2,0,0,0,7,2,1,66.7
Premier League,2425,Brentford,Ryan Trevitt,ENG,MF,22,2003.0,0.0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0.0
Premier League,2425,Brentford,Sepp van den Berg,NED,DF,23,2001.0,27.7,3,0,0,22,5,1,7,21,23,1,0,0,94,88,74,54.3
Premier League,2425,Brentford,Thiago,BRA,"FW,MF",23,2001.0,1.8,0,0,0,3,3,1,1,2,3,0,0,0,11,6,5,54.5
Premier League,2425,Brentford,Vitaly Janelt,GER,MF,27,1998.0,25.0,3,0,0,24,15,1,30,27,22,0,0,2,107,19,11,63.3
Premier League,2425,Brentford,Yehor Yarmoliuk,UKR,MF,21,2004.0,15.1,6,0,0,17,13,2,16,13,26,0,0,0,104,8,9,47.1
Premier League,2425,Brentford,Yoane Wissa,COD,FW,28,1996.0,31.4,4,0,0,32,50,14,20,8,12,1,0,0,75,30,36,45.5
Premier League,2425,Brentford,Yunus Emre Konak,TUR,"FW,MF",19,2006.0,0.5,0,0,0,3,1,0,0,0,4,0,0,0,2,5,9,35.7
Premier League,2425,Brighton,Adam Webster,ENG,DF,30,1995.0,8.9,1,0,0,6,2,1,2,19,6,0,1,0,31,18,6,75.0
Premier League,2425,Brighton,Bart Verbruggen,NED,GK,22,2002.0,35.0,5,0,0,0,2,0,0,0,0,0,0,0,58,10,1,90.9
Premier League,2425,Brighton,Billy Gilmour,SCO,MF,23,2001.0,1.1,0,0,0,2,3,0,1,0,3,0,0,0,5,0,0,0.0
Premier League,2425,Brighton,Brajan Gruda,GER,"MF,FW",20,2004.0,6.8,0,0,0,6,10,1,23,2,6,0,0,0,24,3,4,42.9
Premier League,2425,Brighton,Carlos Baleba,CMR,MF,21,2004.0,28.6,8,1,1,40,46,0,9,44,43,0,2,0,187,38,24,61.3
Premier League,2425,Brighton,Danny Welbeck,ENG,FW,34,1990.0,23.5,5,0,0,11,23,4,3,5,16,0,0,0,46,17,32,34.7
Premier League,2425,Brighton,Diego Gómez,PAR,MF,22,2003.0,5.2,0,0,0,7,2,1,9,8,12,0,0,0,32,8,4,66.7
Premier League,2425,Brighton,Eiran Cashin,IRL,DF,23,2001.0,0.2,0,0,0,0,0,0,1,0,0,0,0,0,1,2,1,66.7
Premier League,2425,Brighton,Evan Ferguson,IRL,FW,20,2004.0,2.7,0,0,0,3,1,0,0,0,3,0,0,0,10,4,9,30.8
Premier League,2425,Brighton,Ferdi Kadioglu,TUR,"DF,MF",25,1999.0,4.3,1,0,0,5,3,1,9,8,6,0,0,0,14,3,1,75.0
Premier League,2425,Brighton,Georginio Rutter,FRA,"MF,FW",23,2002.0,18.4,2,0,0,34,45,7,9,10,15,0,1,0,66,25,46,35.2
Premier League,2425,Brighton,Harry Howell,ENG,FW,16,2008.0,0.1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0
Premier League,2425,Brighton,Igor,BRA,DF,27,1998.0,10.0,4,0,0,9,6,0,2,4,4,0,0,0,40,8,6,57.1
Premier League,2425,Brighton,Jack Hinshelwood,ENG,"DF,MF",20,2005.0,19.5,5,0,0,17,7,0,26,16,18,0,0,0,61,19,15,55.9
Premier League,2425,Brighton,Jakub Moder,POL,MF,26,1999.0,0.1,0,0,0,0,0,0,1,0,0,0,0,0,2,0,1,0.0
Premier League,2425,Brighton,James Milner,ENG,MF,39,1986.0,1.9,1,0,0,3,1,0,8,2,2,0,0,0,2,0,1,0.0
Premier League,2425,Brighton,Jan Paul van Hecke,NED,DF,24,2000.0,31.9,8,1,1,25,24,0,11,24,29,0,0,0,124,81,49,62.3
Premier League,2425,Brighton,Jason Steele,ENG,GK,34,1990.0,2.0,0,0,0,0,1,0,0,0,0,0,0,0,7,1,1,50.0
Premier League,2425,Brighton,Jeremy Sarmiento,ECU,MF,22,2002.0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0
Premier League,2425,Brighton,João Pedro,BRA,"FW,MF",23,2001.0,21.6,4,1,0,26,46,2,22,9,12,3,1,0,59,41,43,48.8
Premier League,2425,Brighton,Joël Veltman,NED,DF,33,1992.0,18.5,4,0,0,27,42,0,23,18,28,0,1,0,68,21,18,53.8
Premier League,2425,Brighton,Julio Enciso,PAR,"MF,FW",21,2004.0,3.3,0,0,0,3,7,0,20,0,0,0,0,0,15,6,5,54.5
Premier League,2425,Brighton,Kaoru Mitoma,JPN,"FW,MF",28,1997.0,28.4,1,0,0,39,23,5,72,13,26,0,0,0,95,26,27,49.1
Premier League,2425,Brighton,Lewis Dunk,ENG,DF,33,1991.0,23.1,5,0,0,7,11,2,5,13,10,0,0,1,104,51,31,62.2
Premier League,2425,Brighton,Mats Wieffer,NED,"MF,DF",25,1999.0,10.3,6,0,0,21,10,1,10,15,28,1,0,0,63,29,24,54.7
Premier League,2425,Brighton,Matt O'Riley,DEN,MF,24,2000.0,10.3,1,0,0,16,13,2,49,13,9,1,0,1,28,5,8,38.5
Premier League,2425,Brighton,Pervis Estupiñán,ECU,DF,27,1998.0,26.7,5,0,0,36,20,3,119,37,43,0,0,0,147,46,26,63.9
Premier League,2425,Brighton,Simon Adingra,CIV,"FW,MF",23,2002.0,11.7,0,0,0,13,3,3,38,8,14,0,0,0,46,6,4,60.0
Premier League,2425,Brighton,Solly March,ENG,"FW,MF",30,1994.0,1.9,2,0,0,2,2,3,20,2,3,0,0,0,7,1,2,33.3
Premier League,2425,Brighton,Tariq Lamptey,GHA,DF,24,2000.0,9.6,0,0,0,15,10,0,28,7,11,0,1,0,39,1,14,6.7
Premier League,2425,Brighton,Yankuba Minteh,GAM,"FW,MF",20,2004.0,19.4,6,0,0,21,10,5,85,11,35,0,0,0,81,17,33,34.0
Premier League,2425,Brighton,Yasin Ayari,SWE,MF,21,2003.0,21.3,3,0,0,36,25,3,66,20,32,0,1,0,116,15,20,42.9
Premier League,2425,Chelsea,Axel Disasi,FRA,DF,27,1998.0,4.0,1,0,0,2,0,0,0,2,4,0,0,0,15,5,2,71.4
Premier League,2425,Chelsea,Benoît Badiashile,FRA,DF,24,2001.0,3.7,0,0,0,6,2,0,0,6,6,0,0,0,18,8,2,80.0
Premier League,2425,Chelsea,Christopher Nkunku,FRA,FW,27,1997.0,10.2,2,0,0,16,11,3,4,7,8,0,0,0,29,16,22,42.1
