player,cluster,classification
Pierrick Capelle,2,Mediocampista Box to Box
Yassin Belkhdim,2,Mediocampista Box to Box
Zinédine Ould Khaled,5,Mediocampista Enganche
Ado Onaiwu,0,Mediocampista Goleador
Assane Dioussé,0,Mediocampista Goleador
Elisha Owusu,2,Mediocampista Box to Box
Gaëtan Perrin,2,Mediocampista Box to Box
Hamed Junior Traorè,0,Mediocampista Goleador
Han-Noah Massengo,2,Mediocampista Box to Box
Kévin Danois,0,Mediocampista Goleador
Rayan Raveloson,0,Mediocampista Goleador
Edimilson Fernandes,1,Mediocampista Lector de Juego
Hugo Magnetti,0,Mediocampista Goleador
Jonas Martin,1,Mediocampista Lector de Juego
Kamory Doumbia,1,Mediocampista Lector de Juego
Mahdi Camara,2,Mediocampista Box to Box
Pierre Lees-Melou,4,Mediocampista Pasador
Romain Faivre,2,Mediocampista Box to Box
Abdoulaye Touré,2,Mediocampista Box to Box
Antoine Joujou,3,Mediocampista Recuperador
Daler Kuzyaev,0,Mediocampista Goleador
Junior Mwanga,2,Mediocampista Box to Box
Mahamadou Diawara,2,Mediocampista Box to Box
Oussama Targhalline,0,Mediocampista Goleador
Rassoul Ndiaye,2,Mediocampista Box to Box
Yassine Kechta,2,Mediocampista Box to Box
Adrien Thomasson,1,Mediocampista Lector de Juego
Andy Diouf,0,Mediocampista Goleador
Angelo Fulgini,4,Mediocampista Pasador
David Costa,0,Mediocampista Goleador
Hamzat Ojediran,4,Mediocampista Pasador
Nampalys Mendy,0,Mediocampista Goleador
Neil El Aynaoui,4,Mediocampista Pasador
André Gomes,4,Mediocampista Pasador
Angel Gomes,5,Mediocampista Enganche
Ayyoub Bouaddi,2,Mediocampista Box to Box
Benjamin André,1,Mediocampista Lector de Juego
Ethan Mbappé,5,Mediocampista Enganche
Hákon Arnar Haraldsson,1,Mediocampista Lector de Juego
Nabil Bentaleb,4,Mediocampista Pasador
Ngal'Ayel Mukau,1,Mediocampista Lector de Juego
Corentin Tolisso,1,Mediocampista Lector de Juego
Jordan Veretout,4,Mediocampista Pasador
Maxence Caqueret,4,Mediocampista Pasador
Nemanja Matić,1,Mediocampista Lector de Juego
Tanner Tessmann,1,Mediocampista Lector de Juego
Thiago Almada,4,Mediocampista Pasador
Adrien Rabiot,1,Mediocampista Lector de Juego
Amine Harit,1,Mediocampista Lector de Juego
Bilal Nadir,1,Mediocampista Lector de Juego
Ismaël Bennacer,4,Mediocampista Pasador
Ismaël Koné,3,Mediocampista Recuperador
Pierre Højbjerg,4,Mediocampista Pasador
Valentin Carboni,5,Mediocampista Enganche
Valentin Rongier,4,Mediocampista Pasador
Aleksandr Golovin,1,Mediocampista Lector de Juego
Almoatasem Al Musrati,1,Mediocampista Lector de Juego
Denis Zakaria,1,Mediocampista Lector de Juego
Eliesse Ben Seghir,1,Mediocampista Lector de Juego
Lamine Camara,1,Mediocampista Lector de Juego
Saïmon Bouabré,5,Mediocampista Enganche
Soungoutou Magassa,1,Mediocampista Lector de Juego
Takumi Minamino,0,Mediocampista Goleador
Birama Touré,3,Mediocampista Recuperador
Jordan Ferri,4,Mediocampista Pasador
Joris Chotard,0,Mediocampista Goleador
Khalil Fayad,1,Mediocampista Lector de Juego
Rabby Nzingoula,2,Mediocampista Box to Box
Téji Savanier,1,Mediocampista Lector de Juego
Dehmaine Assoumani,3,Mediocampista Recuperador
Douglas,1,Mediocampista Lector de Juego
Florent Mollet,3,Mediocampista Recuperador
Francis Coquelin,3,Mediocampista Recuperador
Jean-Philippe Gbamin,0,Mediocampista Goleador
Johann Lepenant,2,Mediocampista Box to Box
Louis Leroux,3,Mediocampista Recuperador
Pedro Chirivella,4,Mediocampista Pasador
Tino Kadewere,2,Mediocampista Box to Box
Badredine Bouanani,0,Mediocampista Goleador
Baptiste Santamaria,1,Mediocampista Lector de Juego
Hicham Boudaoui,2,Mediocampista Box to Box
Jeremie Boga,2,Mediocampista Box to Box
Morgan Sanson,0,Mediocampista Goleador
Pablo Rosario,2,Mediocampista Box to Box
Sofiane Diop,0,Mediocampista Goleador
Tanguy Ndombele,2,Mediocampista Box to Box
Fabián Ruiz Peña,4,Mediocampista Pasador
João Neves,4,Mediocampista Pasador
Senny Mayulu,1,Mediocampista Lector de Juego
Vitinha,4,Mediocampista Pasador
Warren Zaïre-Emery,4,Mediocampista Pasador
Amadou Koné,2,Mediocampista Box to Box
Ange Martial Tia,0,Mediocampista Goleador
John Joe,0,Mediocampista Goleador
Marshall Munetsi,3,Mediocampista Recuperador
Teddy Teuma,4,Mediocampista Pasador
Valentin Atangana Edoa,3,Mediocampista Recuperador
Yaya Kader Fofana,0,Mediocampista Goleador
Albert Grønbaek,2,Mediocampista Box to Box
Amine Gouiri,0,Mediocampista Goleador
Azor Matusiwa,3,Mediocampista Recuperador
Baptiste Santamaria,1,Mediocampista Lector de Juego
Carlos Gómez,0,Mediocampista Goleador
Djaoui Cissé,1,Mediocampista Lector de Juego
Glen Kamara,1,Mediocampista Lector de Juego
Ismaël Koné,3,Mediocampista Recuperador
Jordan James,1,Mediocampista Lector de Juego
Kazeem Olaigbe,2,Mediocampista Box to Box
Ludovic Blas,2,Mediocampista Box to Box
Seko Fofana,4,Mediocampista Pasador
Aimen Moueffek,0,Mediocampista Goleador
Benjamin Bouchouari,4,Mediocampista Pasador
Florian Tardieu,4,Mediocampista Pasador
Lamine Fomba,4,Mediocampista Pasador
Louis Mouton,1,Mediocampista Lector de Juego
Mathieu Cafaro,0,Mediocampista Goleador
Mathis Amougou,2,Mediocampista Box to Box
Pierre Ekwah Elimby,1,Mediocampista Lector de Juego
Andrey Santos,1,Mediocampista Lector de Juego
Dilane Bakwa,2,Mediocampista Box to Box
Félix Lemaréchal,2,Mediocampista Box to Box
Habib Diarra,0,Mediocampista Goleador
Junior Mwanga,1,Mediocampista Lector de Juego
Sebastian Nanasi,0,Mediocampista Goleador
Valentín Barco,1,Mediocampista Lector de Juego
Cristian Cásseres Jr.,1,Mediocampista Lector de Juego
Denis Genreau,1,Mediocampista Lector de Juego
Miha Zajc,1,Mediocampista Lector de Juego
Niklas Schmidt,1,Mediocampista Lector de Juego
Noah Edjouma,2,Mediocampista Box to Box
Shavy Babicka,2,Mediocampista Box to Box
Vincent Sierro,1,Mediocampista Lector de Juego
Yann Gboho,2,Mediocampista Box to Box
Zakaria Aboukhlal,0,Mediocampista Goleador
Alexis Claude-Maurice,2,Mediocampista Box to Box
Arne Maier,1,Mediocampista Lector de Juego
Elvis Rexhbeçaj,2,Mediocampista Box to Box
Frank Onyeka,2,Mediocampista Box to Box
Fredrik Jensen,3,Mediocampista Recuperador
Kristijan Jakić,2,Mediocampista Box to Box
Mert Kömür,5,Mediocampista Enganche
Ruben Vargas,0,Mediocampista Goleador
Tim Breithaupt,5,Mediocampista Enganche
Aleksandar Pavlovic,4,Mediocampista Pasador
Jamal Musiala,0,Mediocampista Goleador
Joshua Kimmich,4,Mediocampista Pasador
João Palhinha,1,Mediocampista Lector de Juego
Leon Goretzka,4,Mediocampista Pasador
Thomas Müller,0,Mediocampista Goleador
Aliou Badara Baldé,5,Mediocampista Enganche
Anthony Losilla,2,Mediocampista Box to Box
Dani de Wit,3,Mediocampista Recuperador
Ibrahima Sissoko,2,Mediocampista Box to Box
Lukas Daschner,0,Mediocampista Goleador
Mats Pannewig,0,Mediocampista Goleador
Matúš Bero,1,Mediocampista Lector de Juego
Moritz-Broni Kwarteng,2,Mediocampista Box to Box
Tom Krauß,1,Mediocampista Lector de Juego
Carney Chukwuemeka,3,Mediocampista Recuperador
Felix Nmecha,1,Mediocampista Lector de Juego
Gio Reyna,3,Mediocampista Recuperador
Julian Brandt,0,Mediocampista Goleador
Marcel Sabitzer,1,Mediocampista Lector de Juego
Pascal Groß,4,Mediocampista Pasador
Salih Özcan,1,Mediocampista Lector de Juego
Ansgar Knauff,2,Mediocampista Box to Box
Can Uzun,2,Mediocampista Box to Box
Ellyes Skhiri,0,Mediocampista Goleador
Fares Chaïbi,0,Mediocampista Goleador
Hugo Larsson,1,Mediocampista Lector de Juego
Jean Mattéo Bahoya,3,Mediocampista Recuperador
Junior Dina Ebimbe,0,Mediocampista Goleador
Mahmoud Dahoud,1,Mediocampista Lector de Juego
Mario Götze,1,Mediocampista Lector de Juego
Oscar Højlund,1,Mediocampista Lector de Juego
Eren Dinkçi,0,Mediocampista Goleador
Maximilian Eggestein,1,Mediocampista Lector de Juego
Merlin Röhl,3,Mediocampista Recuperador
Nicolas Höfler,2,Mediocampista Box to Box
Patrick Osterhage,2,Mediocampista Box to Box
Alassane Pléa,0,Mediocampista Goleador
Florian Neuhaus,4,Mediocampista Pasador
Julian Weigl,1,Mediocampista Lector de Juego
Kevin Stöger,4,Mediocampista Pasador
Philipp Sander,1,Mediocampista Lector de Juego
Rocco Reitz,2,Mediocampista Box to Box
Adrian Beck,0,Mediocampista Goleador
Jan Schöppner,0,Mediocampista Goleador
Julian Niehues,0,Mediocampista Goleador
Lennard Maloney,3,Mediocampista Recuperador
Luca Kerber,2,Mediocampista Box to Box
Niklas Dorsch,1,Mediocampista Lector de Juego
Paul Wanner,2,Mediocampista Box to Box
Andrej Kramarić,2,Mediocampista Box to Box
Anton Stach,1,Mediocampista Lector de Juego
Dennis Geiger,2,Mediocampista Box to Box
Diadie Samassékou,1,Mediocampista Lector de Juego
Finn Ole Becker,4,Mediocampista Pasador
Florian Grillitsch,1,Mediocampista Lector de Juego
Grischa Prömel,5,Mediocampista Enganche
Tom Bischof,1,Mediocampista Lector de Juego
Umut Tohumcu,3,Mediocampista Recuperador
Andu Kelati,0,Mediocampista Goleador
Armin Gigovic,0,Mediocampista Goleador
Lewis Holtby,1,Mediocampista Lector de Juego
Magnus Knudsen,2,Mediocampista Box to Box
Marvin Schulz,0,Mediocampista Goleador
Nicolai Remberg,2,Mediocampista Box to Box
Steven Skrzybski,0,Mediocampista Goleador
Aleix García,4,Mediocampista Pasador
Amine Adli,0,Mediocampista Goleador
Emi Buendía,1,Mediocampista Lector de Juego
Exequiel Palacios,4,Mediocampista Pasador
Florian Wirtz,4,Mediocampista Pasador
Granit Xhaka,4,Mediocampista Pasador
Jonas Hofmann,0,Mediocampista Goleador
Martin Terrier,0,Mediocampista Goleador
Nathan Tella,2,Mediocampista Box to Box
Robert Andrich,1,Mediocampista Lector de Juego
Hong Hyunseok,0,Mediocampista Goleador
Kaishu Sano,2,Mediocampista Box to Box
Karim Onisiwo,5,Mediocampista Enganche
Lee Jae-sung,0,Mediocampista Goleador
Nadiem Amiri,4,Mediocampista Pasador
Paul Nebel,0,Mediocampista Goleador
Amadou Haidara,4,Mediocampista Pasador
Antonio Nusa,2,Mediocampista Box to Box
Arthur Vermeeren,4,Mediocampista Pasador
Christoph Baumgartner,2,Mediocampista Box to Box
Kevin Kampl,1,Mediocampista Lector de Juego
Nicolas Seiwald,1,Mediocampista Lector de Juego
Tidiam Gomis,5,Mediocampista Enganche
Xaver Schlager,0,Mediocampista Goleador
Xavi Simons,1,Mediocampista Lector de Juego
Carlo Boukhalfa,2,Mediocampista Box to Box
Connor Metcalfe,5,Mediocampista Enganche
Jackson Irvine,2,Mediocampista Box to Box
James Sands,3,Mediocampista Recuperador
Manolis Saliakas,1,Mediocampista Lector de Juego
Philipp Treu,1,Mediocampista Lector de Juego
Robert Wagner,0,Mediocampista Goleador
Angelo Stiller,4,Mediocampista Pasador
Atakan Karazor,1,Mediocampista Lector de Juego
Chris Führich,1,Mediocampista Lector de Juego
Enzo Millot,4,Mediocampista Pasador
Fabian Rieder,0,Mediocampista Goleador
Jacob Bruun Larsen,5,Mediocampista Enganche
Jamie Leweling,2,Mediocampista Box to Box
Yannik Keitel,3,Mediocampista Recuperador
Aljoscha Kemlein,0,Mediocampista Goleador
András Schäfer,3,Mediocampista Recuperador
David Preu,5,Mediocampista Enganche
Janik Haberer,2,Mediocampista Box to Box
Jeong Woo-yeong,0,Mediocampista Goleador
Lucas Tousart,2,Mediocampista Box to Box
László Bénes,0,Mediocampista Goleador
Rani Khedira,3,Mediocampista Recuperador
Yorbe Vertessen,0,Mediocampista Goleador
Jens Stage,2,Mediocampista Box to Box
Leonardo Bittencourt,4,Mediocampista Pasador
Romano Schmid,1,Mediocampista Lector de Juego
Senne Lynen,2,Mediocampista Box to Box
Skelly Alvero,3,Mediocampista Recuperador
Aster Vranckx,0,Mediocampista Goleador
Bence Dárdai,2,Mediocampista Box to Box
Lovro Majer,0,Mediocampista Goleador
Mattias Svanberg,2,Mediocampista Box to Box
Maximilian Arnold,1,Mediocampista Lector de Juego
Patrick Wimmer,0,Mediocampista Goleador
Salih Özcan,4,Mediocampista Pasador
Yannick Gerhardt,0,Mediocampista Goleador
Ademola Lookman,2,Mediocampista Box to Box
Charles De Ketelaere,0,Mediocampista Goleador
Ibrahim Sulemana,4,Mediocampista Pasador
Lazar Samardzic,1,Mediocampista Lector de Juego
Marco Brescianini,3,Mediocampista Recuperador
Mario Pašalić,4,Mediocampista Pasador
Marten de Roon,4,Mediocampista Pasador
Éderson,1,Mediocampista Lector de Juego
Giovanni Fabbian,2,Mediocampista Box to Box
Jens Odgaard,0,Mediocampista Goleador
